,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,.323,-16.98,-6.12,4,14,9,7,1,14,1976,2186,,695,1684,.413,232,610,.380,354,487,.727,274,897,394,203,38,399,661
2,Air Force,31,14,17,.452,-1.50,-0.37,6,12,13,6,1,11,2037,2017,,742,1565,.474,232,625,.371,321,487,.659,265,930,483,195,65,366,552
3,Akron,35,21,14,.600,4.20,0.08,9,9,19,5,2,9,2382,2203,,824,1982,.416,328,937,.350,406,617,.658,420,1249,435,230,155,422,654
4,Alabama A&amp;M,29,9,20,.310,-16.96,-9.43,8,10,4,8,5,12,1797,1988,,608,1533,.397,166,577,.288,415,643,.645,367,998,354,165,68,413,573
5,Alabama-Birmingham,34,19,15,.559,1.78,0.97,12,6,16,7,3,8,2341,2301,,820,1907,.430,187,563,.332,514,694,.741,403,1244,490,225,176,461,599
6,Alabama State,29,19,10,.655,-8.83,-12.57,14,4,11,5,8,5,2090,1937,,761,1738,.438,172,480,.358,396,609,.650,389,1151,393,184,122,397,520
7,Alabama,32,18,14,.563,10.28,8.15,8,10,14,7,4,7,2135,2049,,708,1616,.438,207,655,.316,512,711,.720,310,1056,330,208,119,391,619
8,Albany (NY),32,24,8,.750,-0.44,-5.72,15,1,12,3,12,5,2096,1927,,706,1605,.440,197,547,.360,487,640,.761,320,1077,334,181,52,374,528
9,Alcorn State,32,6,26,.188,-20.64,-9.84,4,14,5,11,1,15,2066,2377,,724,1864,.388,155,553,.280,463,704,.658,376,1038,285,191,86,367,571
10,American,33,17,16,.515,-3.37,-3.52,8,10,10,3,7,13,1938,1933,,683,1479,.462,213,571,.373,359,509,.705,187,827,408,196,84,370,484
11,Appalachian State,29,12,17,.414,-9.94,-3.32,9,11,7,5,5,12,1841,2033,,637,1602,.398,186,588,.316,381,537,.709,329,1010,318,122,61,397,551
12,Arizona State,32,17,15,.531,9.85,6.85,9,9,15,5,2,10,2222,2126,,756,1701,.444,218,626,.348,492,736,.668,343,1107,414,189,73,444,606
13,Arizona,34,31,3,.912,24.80,6.98,16,2,23,0,8,3,2599,1993,,908,1855,.489,172,478,.360,611,874,.699,368,1266,483,244,122,381,609
14,Arkansas-Little Rock,31,13,18,.419,-5.46,-3.89,8,12,10,9,3,9,2146,2180,,741,1779,.417,219,636,.344,445,632,.704,329,1063,380,174,86,326,588
15,Arkansas-Pine Bluff,32,12,20,.375,-15.45,-8.42,9,9,7,6,5,14,1915,2140,,657,1639,.401,204,613,.333,397,584,.680,326,927,323,283,108,489,623
16,Arkansas State,29,11,18,.379,-10.24,-3.95,6,14,5,9,6,9,1869,2018,,664,1631,.407,169,514,.329,372,530,.702,318,1038,321,154,89,390,496
17,Arkansas,34,26,8,.765,14.75,6.87,13,5,19,3,7,5,2653,2385,,932,2083,.447,227,648,.350,562,776,.724,442,1216,549,264,162,399,645
18,Army,30,15,15,.500,-6.29,-4.77,6,12,8,7,7,8,2164,2163,,779,1768,.441,227,697,.326,379,557,.680,325,1033,437,192,106,396,612
19,Auburn,35,15,20,.429,3.61,8.49,4,14,13,10,2,10,2378,2523,,760,1881,.404,252,727,.347,606,910,.666,356,1104,376,238,89,452,708
20,Austin Peay,30,8,22,.267,-12.59,-2.95,3,13,7,8,1,14,1937,2178,,663,1667,.398,155,513,.302,456,685,.666,373,1043,360,191,124,428,514
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Ball State,30,7,23,.233,-4.50,0.60,2,16,6,9,1,14,1961,2070,,669,1580,.423,234,684,.342,389,561,.693,303,980,383,159,71,424,576
22,Baylor,33,24,9,.727,19.00,10.19,11,7,18,4,6,5,2293,1991,,794,1831,.434,229,607,.377,476,710,.670,485,1293,483,261,131,413,552
23,Belmont,32,22,10,.688,-0.07,-3.68,11,5,15,2,7,8,2383,2251,,831,1746,.476,321,841,.382,400,579,.691,301,1064,492,205,64,439,527
24,Bethune-Cookman,32,11,21,.344,-15.41,-10.34,7,9,7,10,4,11,1899,2003,,627,1567,.400,163,542,.301,482,672,.717,372,1056,264,174,84,449,623
25,Binghamton,32,6,26,.188,-13.18,-3.22,5,11,5,11,1,15,1845,2124,,633,1598,.396,171,554,.309,408,618,.660,288,992,278,186,80,433,577
26,Boise State,33,25,8,.758,10.34,1.41,14,4,16,3,9,5,2335,1989,,809,1768,.458,291,738,.394,426,581,.733,286,1086,399,201,78,339,564
27,Boston College,32,13,19,.406,6.64,8.27,4,14,11,12,2,7,2105,2157,,743,1668,.445,207,638,.324,412,584,.705,264,984,421,183,86,389,607
28,Boston University,30,13,17,.433,-5.39,-2.88,9,9,8,7,5,10,2037,2087,,668,1498,.446,232,631,.368,469,674,.696,263,953,368,170,56,369,522
29,Bowling Green State,31,20,11,.645,4.41,-0.73,11,7,11,6,9,5,2070,1930,,734,1688,.435,205,603,.340,395,555,.712,328,1079,381,210,117,366,527
30,Bradley,33,9,24,.273,-4.37,1.44,3,15,8,13,1,11,1882,2026,,639,1700,.376,179,594,.301,425,641,.663,377,1098,308,227,93,418,645
31,Brigham Young,34,25,9,.735,14.29,5.38,13,5,17,6,8,3,2841,2467,,948,2032,.467,285,734,.388,660,859,.768,415,1310,572,257,101,402,698
32,Brown,31,13,18,.419,-6.98,-1.74,4,10,10,6,3,12,2048,2144,,686,1623,.423,175,549,.319,501,727,.689,324,1129,369,139,138,460,591
33,Bryant,31,16,15,.516,-6.09,-4.74,12,6,9,5,7,10,2058,2100,,709,1683,.421,226,653,.346,414,552,.750,306,1029,381,157,77,366,560
34,Bucknell,33,19,14,.576,-3.58,-2.83,13,5,13,4,6,10,2272,2273,,776,1757,.442,224,578,.388,496,708,.701,319,1094,431,137,94,366,611
35,Buffalo,32,23,9,.719,8.41,1.69,12,6,13,2,10,7,2400,2185,,817,1878,.435,193,567,.340,573,794,.722,412,1230,421,244,129,361,589
36,Butler,32,22,10,.688,16.70,8.33,12,6,15,6,7,4,2226,1958,,777,1771,.439,184,514,.358,488,718,.680,390,1175,368,204,94,364,564
37,Cal Poly,29,13,16,.448,-0.26,0.74,6,10,8,6,5,10,1752,1721,,620,1589,.390,166,533,.311,346,506,.684,342,1002,295,158,87,255,465
38,Cal State Bakersfield,33,14,19,.424,-6.42,-5.82,7,7,11,8,3,11,2100,2028,,715,1703,.420,186,554,.336,484,669,.723,368,1143,427,190,59,409,673
39,Cal State Fullerton,31,9,22,.290,-8.35,-0.84,1,15,8,9,1,13,1991,2155,,698,1695,.412,167,523,.319,428,623,.687,323,1088,305,156,62,391,566
40,Cal State Northridge,33,9,24,.273,-6.44,0.56,4,12,8,10,1,14,2148,2325,,740,1742,.425,110,337,.326,558,729,.765,325,1133,443,180,125,435,597
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
41,California-Davis,31,25,6,.806,2.42,-2.96,14,2,14,1,11,5,2199,1991,,753,1524,.494,265,589,.450,428,586,.730,245,970,415,160,62,420,547
42,California-Irvine,33,21,12,.636,3.51,0.15,11,5,14,3,7,9,2240,2056,,830,1799,.461,212,544,.390,368,539,.683,320,1169,470,189,166,382,568
43,California-Riverside,31,14,17,.452,-4.45,-0.96,7,9,12,3,2,14,2025,2050,,707,1691,.418,207,603,.343,404,592,.682,337,1080,399,208,111,413,626
44,California-Santa Barbara,32,19,13,.594,4.08,1.38,11,5,14,3,5,10,2171,2021,,773,1766,.438,215,579,.371,410,554,.740,339,1099,491,164,116,352,596
45,California,33,18,15,.545,5.64,6.43,7,11,13,8,5,7,2195,2221,,821,1868,.440,185,515,.359,368,567,.649,299,1170,412,137,127,365,627
46,Campbell,32,10,22,.313,-11.09,-5.26,4,14,9,7,1,15,2045,2124,,705,1654,.426,262,736,.356,373,597,.625,305,988,419,226,92,403,576
47,Canisius,30,16,14,.533,-0.78,-2.71,11,9,9,6,7,8,1926,1868,,677,1686,.402,192,609,.315,380,535,.710,368,1044,420,200,99,361,552
48,Central Arkansas,29,2,27,.069,-22.65,-5.75,2,16,2,11,0,16,1894,2384,,646,1524,.424,196,556,.353,406,599,.678,273,903,361,182,114,529,604
49,Central Connecticut State,31,5,26,.161,-16.39,-5.45,3,15,4,12,1,14,1834,2173,,674,1675,.402,146,454,.322,340,479,.710,332,1046,340,153,109,425,429
50,Central Florida,30,12,18,.400,-5.51,1.01,5,13,10,9,2,9,1981,2153,,704,1621,.434,202,577,.350,371,577,.643,313,997,369,155,128,390,470
51,Central Michigan,30,22,8,.733,6.43,-0.82,12,6,16,1,6,7,2319,2034,,781,1678,.465,303,815,.372,454,621,.731,301,1002,415,207,77,301,529
52,Charleston Southern,30,19,11,.633,-4.63,-5.74,13,5,13,3,6,8,2221,2065,,760,1796,.423,277,814,.340,424,616,.688,393,1135,386,211,68,342,524
53,Charlotte,32,14,18,.438,2.04,0.63,7,11,9,9,5,9,2362,2317,,858,1853,.463,201,533,.377,445,685,.650,382,1166,437,207,80,435,558
54,Chattanooga,32,22,10,.688,-1.52,-3.96,15,3,15,3,7,7,2325,2141,,793,1754,.452,217,621,.349,522,762,.685,371,1118,384,210,203,418,619
55,Chicago State,32,8,24,.250,-14.76,-2.49,4,10,7,8,1,16,1855,2115,,659,1747,.377,194,644,.301,343,514,.667,402,1058,295,268,93,471,680
56,Cincinnati,32,22,10,.688,10.64,3.54,13,5,16,5,6,5,1996,1769,,716,1581,.453,161,483,.333,403,598,.674,351,1095,380,210,174,409,469
57,Citadel,30,11,19,.367,-12.78,-4.55,6,12,8,8,3,11,1919,2058,,647,1436,.451,206,515,.400,419,546,.767,271,874,394,141,66,392,449
58,Clemson,31,16,15,.516,8.00,7.46,8,10,13,8,3,7,1944,1927,,689,1685,.409,171,572,.299,395,579,.682,369,1122,330,168,148,365,502
59,Cleveland State,31,17,14,.548,2.79,-0.45,11,5,12,3,5,11,2047,1921,,734,1647,.446,215,580,.371,362,526,.688,326,1003,404,231,102,368,600
60,Coastal Carolina,33,24,9,.727,-1.46,-7.28,12,6,16,2,8,7,2366,2035,,808,1841,.439,221,621,.356,529,769,.688,440,1313,376,232,110,393,545
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,Colgate,32,15,17,.469,-2.66,-3.16,12,6,9,5,6,12,2089,2073,,771,1596,.483,243,615,.395,304,437,.696,216,948,422,158,85,370,548
62,College of Charleston,33,9,24,.273,-6.89,-0.92,3,15,7,12,2,12,1934,2131,,686,1708,.402,197,575,.343,365,553,.660,314,1064,317,182,96,397,679
63,Colorado State,33,27,6,.818,8.87,0.90,13,5,18,2,9,4,2378,2095,,811,1837,.441,240,677,.355,516,760,.679,395,1240,486,184,109,353,556
64,Colorado,32,15,17,.469,8.03,7.22,7,11,13,7,2,10,2193,2167,,755,1733,.436,169,497,.340,514,718,.716,364,1182,367,184,128,424,583
65,Columbia,28,13,15,.464,-0.13,-1.24,5,9,9,8,4,7,1816,1737,,637,1453,.438,244,670,.364,298,416,.716,287,916,333,137,100,328,502
66,Connecticut,34,20,14,.588,8.67,4.29,10,8,13,7,7,7,2182,2033,,774,1767,.438,220,620,.355,414,587,.705,325,1152,402,158,178,392,561
67,Coppin State,31,8,23,.258,-17.69,-4.62,6,10,4,8,4,15,2219,2558,,758,1906,.398,295,826,.357,408,590,.692,319,994,390,207,99,418,632
68,Cornell,30,13,17,.433,-3.39,-1.74,5,9,8,8,5,9,1868,1838,,615,1558,.395,181,579,.313,457,610,.749,248,981,312,187,142,359,569
69,Creighton,33,14,19,.424,7.80,7.37,4,14,11,10,3,9,2221,2207,,746,1776,.420,262,759,.345,467,644,.725,348,1139,449,147,77,391,591
70,Dartmouth,28,14,14,.500,-2.53,-3.28,7,7,8,4,6,10,1763,1742,,630,1446,.436,164,467,.351,339,525,.646,288,917,344,212,99,358,538
71,Davidson,31,24,7,.774,13.14,3.04,14,4,15,3,9,4,2477,2138,,877,1861,.471,337,849,.397,386,543,.711,325,1114,534,170,89,297,586
72,Dayton,33,25,8,.758,10.82,3.51,13,5,19,1,6,7,2251,2010,,750,1620,.463,213,605,.352,538,789,.682,245,1041,456,230,84,379,525
73,Delaware State,35,18,17,.514,-10.33,-6.81,9,7,9,6,9,11,2476,2529,,867,2058,.421,276,780,.354,466,654,.713,414,1342,426,171,139,469,601
74,Delaware,30,10,20,.333,-7.55,-1.49,9,9,5,10,5,10,1979,2161,,675,1646,.410,199,576,.345,430,627,.686,314,1061,376,128,108,367,522
75,Denver,30,12,18,.400,-4.01,-3.18,6,10,9,8,3,10,1865,1890,,657,1369,.480,224,589,.380,327,427,.766,148,717,457,179,55,338,611
76,DePaul,32,12,20,.375,3.59,7.78,6,12,9,9,3,11,2220,2354,,757,1739,.435,248,705,.352,458,635,.721,292,969,395,212,122,428,679
77,Detroit Mercy,33,15,18,.455,-2.08,0.31,7,9,12,6,3,12,2334,2335,,840,1889,.445,231,602,.384,423,619,.683,343,1109,444,254,112,436,687
78,Drake,31,9,22,.290,-6.05,2.22,6,12,8,10,1,12,1844,2070,,637,1396,.456,200,490,.408,370,482,.768,192,810,370,138,60,409,485
79,Drexel,30,11,19,.367,-5.39,-0.53,9,9,5,12,6,7,1787,1930,,614,1569,.391,176,540,.326,383,514,.745,287,948,317,155,110,313,523
80,Duke,33,29,4,.879,24.14,9.11,15,3,19,2,10,2,2660,2164,,944,1880,.502,250,648,.386,522,755,.691,401,1232,512,237,124,371,528
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
81,Duquesne,31,12,19,.387,-2.68,1.65,6,12,10,9,2,10,2213,2303,,803,1788,.449,245,663,.370,362,577,.627,353,1124,466,159,104,381,558
82,East Carolina,33,14,19,.424,-2.59,1.25,6,12,12,8,2,11,2116,2176,,750,1776,.422,233,662,.352,383,563,.680,333,1048,443,208,64,379,571
83,East Tennessee State,30,16,14,.533,-4.74,-3.95,8,10,10,5,6,9,2201,2140,,722,1712,.422,280,764,.366,477,661,.722,331,1052,382,235,83,381,611
84,Eastern Illinois,31,17,14,.548,-5.85,-2.85,9,7,11,5,6,9,1932,1962,,688,1574,.437,215,589,.365,341,529,.645,243,939,400,173,131,366,505
85,Eastern Kentucky,30,19,11,.633,0.00,-4.36,11,5,11,3,8,8,2157,1890,,738,1595,.463,258,742,.348,423,543,.779,212,812,437,291,88,348,518
86,Eastern Michigan,34,21,13,.618,2.77,0.47,8,10,16,4,5,9,2362,2159,,783,1902,.412,223,718,.311,573,802,.714,392,1244,359,294,155,400,640
87,Eastern Washington,34,26,8,.765,0.61,-4.49,14,4,15,2,11,6,2746,2504,,951,1981,.480,335,832,.403,509,704,.723,341,1155,448,216,165,367,603
88,Elon,33,15,18,.455,-5.66,-2.44,6,12,10,8,5,10,2329,2329,,807,1906,.423,240,684,.351,475,695,.683,355,1151,394,213,45,440,691
89,Evansville,31,19,12,.613,2.74,0.27,9,9,13,7,6,5,2148,2003,,750,1569,.478,124,360,.344,524,703,.745,248,993,482,174,114,398,535
90,Fairfield,31,7,24,.226,-8.55,-2.23,5,15,4,13,3,11,1845,2041,,614,1578,.389,198,614,.322,419,585,.716,286,979,324,154,109,396,592
91,Fairleigh Dickinson,29,8,21,.276,-12.02,-4.34,3,15,4,9,4,12,1956,2130,,681,1658,.411,208,628,.331,386,557,.693,300,869,325,252,94,372,648
92,Florida A&amp;M,29,2,27,.069,-25.86,-8.34,2,14,2,10,0,17,1607,2115,,560,1500,.373,119,421,.283,368,567,.649,281,914,241,143,62,415,518
93,Florida Atlantic,29,9,20,.310,-7.61,-1.87,2,16,7,7,2,13,1815,1934,,651,1562,.417,212,610,.348,301,447,.673,265,904,297,126,99,367,522
94,Florida Gulf Coast,32,22,10,.688,-1.12,-4.60,11,3,16,4,6,6,2155,2010,,786,1822,.431,189,561,.337,394,586,.672,394,1225,449,180,125,378,545
95,Florida International,33,16,17,.485,-7.53,-2.98,8,10,10,6,6,11,2060,2153,,749,1694,.442,151,487,.310,411,647,.635,313,1129,374,224,150,493,613
96,Florida State,33,17,16,.515,7.02,7.36,8,10,13,9,4,7,2199,2210,,763,1669,.457,147,470,.313,524,783,.669,328,1109,380,181,157,478,612
97,Florida,33,16,17,.485,13.61,10.00,8,10,12,8,4,9,2101,1982,,766,1763,.434,218,674,.323,351,553,.635,348,1095,431,228,118,409,558
98,Fordham,31,10,21,.323,-1.87,3.00,4,14,9,10,1,11,2015,2144,,711,1713,.415,187,613,.305,406,559,.726,373,1117,390,209,119,452,582
99,Fresno State,32,15,17,.469,-1.89,1.64,10,8,11,4,4,13,2086,2123,,725,1692,.428,179,559,.320,457,662,.690,286,1010,336,250,114,358,644
100,Furman,33,11,22,.333,-10.46,-3.36,5,13,8,8,3,14,2098,2245,,701,1637,.428,216,659,.328,480,717,.669,317,1068,342,183,94,438,582
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
101,Gardner-Webb,34,20,14,.588,-5.36,-3.46,10,8,13,4,7,10,2541,2508,,882,1974,.447,277,793,.349,500,752,.665,384,1208,551,227,81,418,552
102,George Mason,31,9,22,.290,-1.07,4.96,4,14,7,11,2,11,1996,2147,,708,1663,.426,130,406,.320,450,676,.666,391,1113,315,187,120,445,638
103,George Washington,33,21,12,.636,8.58,2.76,10,8,14,3,7,9,2217,2025,,781,1771,.441,178,508,.350,477,700,.681,400,1217,387,181,130,408,521
104,Georgetown,31,21,10,.677,16.06,9.99,12,6,14,5,7,5,2192,2004,,750,1650,.455,181,521,.347,511,728,.702,347,1089,408,240,152,392,626
105,Georgia Southern,31,22,9,.710,-0.55,-4.87,14,6,14,3,8,6,2112,1865,,733,1765,.415,234,740,.316,412,616,.669,391,1160,361,226,99,365,522
106,Georgia State,33,24,9,.727,4.96,-3.23,15,5,14,1,10,8,2375,2053,,854,1778,.480,163,492,.331,504,693,.727,308,1081,450,300,138,352,607
107,Georgia Tech,31,12,19,.387,7.42,8.71,3,15,10,9,2,10,1962,2002,,734,1800,.408,131,491,.267,363,560,.648,444,1187,362,177,104,394,516
108,Georgia,32,21,11,.656,12.85,8.70,11,7,13,6,8,5,2187,2054,,728,1673,.435,180,524,.344,551,800,.689,348,1217,403,179,149,408,589
109,Gonzaga,34,32,2,.941,21.90,4.78,17,1,19,1,13,1,2690,2071,,973,1856,.524,242,593,.408,502,725,.692,347,1287,561,211,114,359,580
110,Grambling,29,2,27,.069,-30.44,-7.77,0,18,2,9,0,18,1509,2105,,512,1417,.361,105,366,.287,380,584,.651,294,928,225,154,52,486,551
111,Grand Canyon,31,17,14,.548,-6.50,-5.47,8,6,13,7,4,7,2128,2113,,731,1615,.453,195,572,.341,471,663,.710,272,975,373,164,96,347,611
112,Green Bay,32,24,8,.750,6.14,-0.60,12,4,14,1,10,7,2196,1937,,806,1747,.461,137,459,.298,447,692,.646,360,1141,449,238,160,377,587
